,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_vect__max_df,param_vect__max_features,param_vect__min_df,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,10.828183889389038,0.17814459218389184,2.6807642459869383,0.09824028649010759,25,0.25,,10,"{'clf__alpha': 25, 'vect__max_df': 0.25, 'vect__max_features': None, 'vect__min_df': 10}",0.44598,0.44296,0.44128,0.44418,0.444,0.4436800000000001,0.0015440725371561994,48
11,10.903056764602661,0.25169032129772284,2.572078323364258,0.0822070080408507,25,0.25,,25,"{'clf__alpha': 25, 'vect__max_df': 0.25, 'vect__max_features': None, 'vect__min_df': 25}",0.44766,0.44328,0.44214,0.4455,0.44544,0.444804,0.0019217242257930833,2
12,11.087772130966187,0.4278238626792205,2.7429452896118165,0.13340979846423254,25,0.5,5000,1,"{'clf__alpha': 25, 'vect__max_df': 0.5, 'vect__max_features': 5000, 'vect__min_df': 1}",0.44432,0.43954,0.44064,0.44132,0.44232,0.44162799999999997,0.0016221269987272918,83
13,11.533482551574707,0.24411539103427463,2.7377625942230224,0.09058404936098748,25,0.5,5000,10,"{'clf__alpha': 25, 'vect__max_df': 0.5, 'vect__max_features': 5000, 'vect__min_df': 10}",0.44424,0.43948,0.44036,0.44124,0.4424,0.44154400000000005,0.0016586452303009392,87
14,11.091548109054566,0.07427031504899467,2.703092432022095,0.08859254944842188,25,0.5,5000,25,"{'clf__alpha': 25, 'vect__max_df': 0.5, 'vect__max_features': 5000, 'vect__min_df': 25}",0.44432,0.43956,0.44048,0.44136,0.44236,0.44161599999999995,0.0016400195120790456,84
15,11.072743606567382,0.2754562701310447,2.600397157669067,0.09973458823424909,25,0.5,10000,1,"{'clf__alpha': 25, 'vect__max_df': 0.5, 'vect__max_features': 10000, 'vect__min_df': 1}",0.44638,0.44116,0.44114,0.44374,0.44478,0.44344,0.0020502487653941003,57
16,11.266953039169312,0.2919228539898435,2.772017765045166,0.12659638216321842,25,0.5,10000,10,"{'clf__alpha': 25, 'vect__max_df': 0.5, 'vect__max_features': 10000, 'vect__min_df': 10}",0.44632,0.44112,0.44112,0.44368,0.44466,0.44338,0.002029147604291017,59
17,10.848486518859863,0.13177237750187054,2.5968618869781492,0.10747771590051096,25,0.5,10000,25,"{'clf__alpha': 25, 'vect__max_df': 0.5, 'vect__max_features': 10000, 'vect__min_df': 25}",0.44652,0.44106,0.44118,0.4438,0.44468,0.44344799999999995,0.002094052530382165,56
18,11.225705671310426,0.06099759956668275,2.761658191680908,0.04748685370028481,25,0.5,15000,1,"{'clf__alpha': 25, 'vect__max_df': 0.5, 'vect__max_features': 15000, 'vect__min_df': 1}",0.44696,0.44308,0.44192,0.44506,0.44416,0.44423599999999996,0.0017207626216303226,26
19,11.285796499252319,0.12110984518688778,2.7230701446533203,0.10878863446683482,25,0.5,15000,10,"{'clf__alpha': 25, 'vect__max_df': 0.5, 'vect__max_features': 15000, 'vect__min_df': 10}",0.447,0.4431,0.44186,0.445,0.44426,0.444244,0.0017412363423728663,24
20,10.948299598693847,0.16761770135552154,2.7322440147399902,0.15018467905581498,25,0.5,15000,25,"{'clf__alpha': 25, 'vect__max_df': 0.5, 'vect__max_features': 15000, 'vect__min_df': 25}",0.44682,0.44318,0.4416,0.4449,0.44432,0.44416399999999995,0.0017414201101399972,30
21,11.642510318756104,0.17165064355067344,2.834292984008789,0.16379648444617506,25,0.5,,1,"{'clf__alpha': 25, 'vect__max_df': 0.5, 'vect__max_features': None, 'vect__min_df': 1}",0.42924,0.4248,0.4265,0.4255,0.42296,0.4258,0.002072640827543452,90
22,10.827835845947266,0.10272259837217367,2.6110205173492433,0.017642567603720676,25,0.5,,10,"{'clf__alpha': 25, 'vect__max_df': 0.5, 'vect__max_features': None, 'vect__min_df': 10}",0.44554,0.4427,0.44116,0.44386,0.44368,0.44338799999999995,0.001440588768524869,58
23,11.009842729568481,0.1654507489835016,2.71027250289917,0.059941041742243864,25,0.5,,25,"{'clf__alpha': 25, 'vect__max_df': 0.5, 'vect__max_features': None, 'vect__min_df': 25}",0.44714,0.44268,0.44154,0.44498,0.4439,0.444048,0.0019293771015537564,35
24,10.927584457397462,0.16135403787802338,2.6002678871154785,0.11370553097106531,30,0.25,5000,1,"{'clf__alpha': 30, 'vect__max_df': 0.25, 'vect__max_features': 5000, 'vect__min_df': 1}",0.44504,0.43996,0.44122,0.4421,0.44264,0.44219200000000003,0.0016880094786463642,71
25,11.215524768829345,0.09194937764741225,2.67289023399353,0.01603255471771455,30,0.25,5000,10,"{'clf__alpha': 30, 'vect__max_df': 0.25, 'vect__max_features': 5000, 'vect__min_df': 10}",0.44504,0.43988,0.4412,0.44192,0.44276,0.44216,0.0017223240113288796,75
26,11.000790071487426,0.14857012035744707,2.6172128200531004,0.0916776804372118,30,0.25,5000,25,"{'clf__alpha': 30, 'vect__max_df': 0.25, 'vect__max_features': 5000, 'vect__min_df': 25}",0.44504,0.43996,0.44116,0.44204,0.44274,0.44218799999999997,0.0017018390053116015,72
27,11.083395385742188,0.11867333345640485,2.686002588272095,0.06773196535961103,30,0.25,10000,1,"{'clf__alpha': 30, 'vect__max_df': 0.25, 'vect__max_features': 10000, 'vect__min_df': 1}",0.44692,0.44246,0.44224,0.44426,0.4448,0.444136,0.0017094279744990556,31
28,11.050607442855835,0.1200699780858,2.680646228790283,0.07581144432025134,30,0.25,10000,10,"{'clf__alpha': 30, 'vect__max_df': 0.25, 'vect__max_features': 10000, 'vect__min_df': 10}",0.4468,0.4425,0.44222,0.44422,0.44482,0.44411199999999995,0.0016683213119779916,32
29,10.978363132476806,0.1722912579802871,2.6404266357421875,0.11773596614216893,30,0.25,10000,25,"{'clf__alpha': 30, 'vect__max_df': 0.25, 'vect__max_features': 10000, 'vect__min_df': 25}",0.44704,0.44244,0.44232,0.44422,0.44492,0.444188,0.0017444586552853563,29
30,11.896987533569336,0.3190284912709069,2.9553072452545166,0.22213204524778124,30,0.25,15000,1,"{'clf__alpha': 30, 'vect__max_df': 0.25, 'vect__max_features': 15000, 'vect__min_df': 1}",0.44758,0.44352,0.44246,0.4452,0.4453,0.44481200000000004,0.0017465211135282437,1
31,11.422967720031739,0.5532289744756475,2.6971278190612793,0.09658371717923228,30,0.25,15000,10,"{'clf__alpha': 30, 'vect__max_df': 0.25, 'vect__max_features': 15000, 'vect__min_df': 10}",0.44764,0.44346,0.44236,0.44522,0.44532,0.44480000000000003,0.001803418975169107,4
32,11.371771955490113,0.21469579423546375,2.8572808742523192,0.0968929460466092,30,0.25,15000,25,"{'clf__alpha': 30, 'vect__max_df': 0.25, 'vect__max_features': 15000, 'vect__min_df': 25}",0.44764,0.44356,0.44232,0.44496,0.44524,0.44474400000000003,0.001786455708938789,5
33,11.302271366119385,0.3260969768963075,2.7227053165435793,0.10746999976658513,30,0.25,,1,"{'clf__alpha': 30, 'vect__max_df': 0.25, 'vect__max_features': None, 'vect__min_df': 1}",0.42846,0.42412,0.42582,0.42498,0.42194,0.42506400000000005,0.0021336316458095634,91
34,10.98961124420166,0.048749091252908466,2.7170533180236816,0.10738061581312346,30,0.25,,10,"{'clf__alpha': 30, 'vect__max_df': 0.25, 'vect__max_features': None, 'vect__min_df': 10}",0.44616,0.44268,0.44168,0.44332,0.44358,0.44348400000000004,0.0014898268355751896,55
35,11.524173402786255,0.26818019270718707,2.7847463130950927,0.10546123064305396,30,0.25,,25,"{'clf__alpha': 30, 'vect__max_df': 0.25, 'vect__max_features': None, 'vect__min_df': 25}",0.44726,0.44354,0.44256,0.44536,0.4453,0.444804,0.0016260578095504408,2
36,11.473594617843627,0.3652948248643554,2.8847229957580565,0.040772291428959925,30,0.5,5000,1,"{'clf__alpha': 30, 'vect__max_df': 0.5, 'vect__max_features': 5000, 'vect__min_df': 1}",0.44434,0.43976,0.44054,0.44084,0.44248,0.441592,0.0016351440303532965,86
37,11.482395267486572,0.403512303645197,2.5956661701202393,0.10666482456185528,30,0.5,5000,10,"{'clf__alpha': 30, 'vect__max_df': 0.5, 'vect__max_features': 5000, 'vect__min_df': 10}",0.44432,0.43978,0.44028,0.44084,0.44248,0.44154,0.0016605541243813699,88
38,11.236686325073242,0.5297178617482203,2.8759310245513916,0.18845515796575524,30,0.5,5000,25,"{'clf__alpha': 30, 'vect__max_df': 0.5, 'vect__max_features': 5000, 'vect__min_df': 25}",0.44434,0.43984,0.44044,0.4409,0.44248,0.44160000000000005,0.0016257429071043182,85
39,11.544307041168214,0.5270158144277969,2.6418571949005125,0.12424679373490147,30,0.5,10000,1,"{'clf__alpha': 30, 'vect__max_df': 0.5, 'vect__max_features': 10000, 'vect__min_df': 1}",0.4464,0.44224,0.44188,0.44404,0.44464,0.44384000000000007,0.0016513751845053267,42
40,10.681862163543702,0.02192136177969092,2.516370248794556,0.015926285947976508,30,0.5,10000,10,"{'clf__alpha': 30, 'vect__max_df': 0.5, 'vect__max_features': 10000, 'vect__min_df': 10}",0.44632,0.44216,0.4419,0.44408,0.44456,0.443804,0.001631313581136375,43
41,10.679241943359376,0.016685541674067463,2.526389789581299,0.021078080277262257,30,0.5,10000,25,"{'clf__alpha': 30, 'vect__max_df': 0.5, 'vect__max_features': 10000, 'vect__min_df': 25}",0.44646,0.44202,0.44184,0.44406,0.44464,0.443804,0.0017238747054238001,43
42,10.957197999954223,0.2483364752122328,2.711883211135864,0.08744123980054785,30,0.5,15000,1,"{'clf__alpha': 30, 'vect__max_df': 0.5, 'vect__max_features': 15000, 'vect__min_df': 1}",0.4466,0.44294,0.44226,0.44542,0.444,0.44424399999999997,0.001589334451901172,25
43,10.726209545135498,0.1495432323110847,2.5341928005218506,0.02680508143302453,30,0.5,15000,10,"{'clf__alpha': 30, 'vect__max_df': 0.5, 'vect__max_features': 15000, 'vect__min_df': 10}",0.44668,0.44304,0.44222,0.44542,0.44398,0.444268,0.0016081094490114837,21
44,11.098128652572631,0.27178974169137665,2.8032419204711916,0.024532289722330847,30,0.5,15000,25,"{'clf__alpha': 30, 'vect__max_df': 0.5, 'vect__max_features': 15000, 'vect__min_df': 25}",0.44642,0.44302,0.44226,0.44536,0.44408,0.444228,0.0015126453649153776,27
